,Rating,Roaster,Roaster Location,Roast,Name,Coffee Origin,Aroma,Body,Flavor,Acidity/Structure,Aftertaste,Agtron,Agtron scale,euro,euro/gr,Review Date,lat,lon,display_name
10,94.0,Simon Hsieh Aroma Roast Coffees,"Taoyuan, Taiwan",Medium-Dark,Rwanda “Silverback Returns”,"Rutsiro District, western Rwanda",9.0,9.0,9.0,,8.0,42.0,58.0,24.0,0.10452961672473868,July 2021,24.9929995,121.3010003,"桃園市, 臺灣"
11,93.0,Dragonfly Coffee Roasters,"Henderson, Nevada",Medium-Light,Yemen Mocha Khulani,"Sana’a growing region, Yemen",9.0,8.0,9.0,9.0,8.0,60.0,80.0,29.75,0.12957317073170732,July 2021,36.0301134,-114.9826194,"Henderson, Clark County, Nevada, United States"
12,93.0,Simon Hsieh Aroma Roast Coffees,"Taoyuan, Taiwan",Medium-Dark,Peru “El Dorado”,"Jaen, Cajamarca, Peru",8.0,9.0,9.0,,8.0,40.0,60.0,18.0,0.07839721254355402,July 2021,24.9929995,121.3010003,"桃園市, 臺灣"
13,93.0,Dragonfly Coffee Roasters,"Henderson, Nevada",Medium-Light,Yemen Mocha Harazi,"Sana’a growing region, Yemen",9.0,9.0,9.0,8.0,8.0,62.0,78.0,29.75,0.12957317073170732,July 2021,36.0301134,-114.9826194,"Henderson, Clark County, Nevada, United States"
14,92.0,Forest Roasting,"Yuanlin, Taiwan",Medium-Light,Top Blend 2,Brazil; Colombia; Guatemala,9.0,8.0,9.0,8.0,8.0,57.0,77.0,11.4,0.03310104529616725,July 2021,23.9593485,120.5696323,"員林, 55, 民權街, 中山里, 員林市, 彰化縣, 51041, 臺灣"
15,93.0,Forest Roasting,"Yuanlin, Taiwan",Medium-Light,Top Blend 1,Panama; Ethiopia; Costa Rica,9.0,8.0,9.0,9.0,8.0,58.0,76.0,11.4,0.03310104529616725,July 2021,23.9593485,120.5696323,"員林, 55, 民權街, 中山里, 員林市, 彰化縣, 51041, 臺灣"
16,91.0,Japanese Coffee Co.,"Sapporo, Japan",Medium-Dark,Quattoro Mountain Blend,Colombia; Ecuador; Indonesia; Uganda,8.0,8.0,9.0,,7.0,42.0,56.0,40.8,0.11846689895470383,July 2021,43.061936,141.3542924,"札幌市, 石狩振興局, 北海道, 日本"
27,95.0,JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,Gigesa Natural,"Guji Zone, Oromia Region, Southern Ethiopia",9.0,9.0,9.0,9.0,9.0,58.0,78.0,15.299999999999999,0.04442508710801394,July 2021,19.2024436,-155.4773466,"Pahala CDP, Hawaiʻi County, Hawaii, 96777, United States"
28,95.0,JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,El Jocote Natural,"Rosario de Desamparados, Tarrazú, Costa Rica",9.0,9.0,9.0,9.0,9.0,60.0,78.0,13.6,0.059233449477351915,July 2021,34.0181557,-84.190196,"Johns Creek, Fulton County, Georgia, United States"
29,94.0,Big Shoulders Coffee,"Chicago, Illinois",Medium-Light,Panama Finca Santa Teresa Summer Gesha,"Finca Santa Teresa, Volcan, Panama",9.0,9.0,9.0,9.0,8.0,60.0,78.0,73.95,0.2147212543554007,July 2021,34.0181557,-84.190196,"Johns Creek, Fulton County, Georgia, United States"
30,94.0,Nostalgia Coffee Roasters,"San Diego, California",Medium-Light,Baby Dragons,"Caicedonia, Valle de Cauca Department, Colombia",9.0,9.0,9.0,9.0,8.0,60.0,77.0,23.8,0.06910569105691057,July 2021,43.074761,-89.3837613,"Madison, Dane County, Wisconsin, United States"
31,93.0,Big Shoulders Coffee,"Chicago, Illinois",Medium-Light,Colombia Lagoon Java Anaerobic,"Tolima Department, Colombia",9.0,9.0,9.0,8.0,8.0,56.0,78.0,21.25,0.061701509872241586,July 2021,43.074761,-89.3837613,"Madison, Dane County, Wisconsin, United States"
32,93.0,Le Brewlife,"Taichung, Taiwan",Medium-Light,Colombia La Palma y El Tucan,"Cundinamarca Department, central Colombia",9.0,9.0,9.0,8.0,8.0,58.0,78.0,15.0,0.1,July 2021,43.074761,-89.3837613,"Madison, Dane County, Wisconsin, United States"
33,93.0,Big Shoulders Coffee,"Chicago, Illinois",Medium-Light,Colombia Pink Bourbon Farmer Collaboration,"Pitalito-Bruselas, Huila Department, Colombia",9.0,8.0,9.0,9.0,8.0,58.0,76.0,21.25,0.061701509872241586,July 2021,43.074761,-89.3837613,"Madison, Dane County, Wisconsin, United States"
34,93.0,Le Brewlife,"Taichung, Taiwan",Light,Ethiopia Wush Wush G1,"Guji Zone, Oromia Region, southern Ethiopia",9.0,8.0,9.0,9.0,8.0,62.0,80.0,19.5,0.13,July 2021,45.6794293,-111.044047,"Bozeman, Gallatin County, Montana, United States"
35,92.0,Le Brewlife,"Taichung, Taiwan",Light,Jamaica Blue Mountain,"Blue Mountain growing region, eastern Jamaica.",9.0,8.0,9.0,8.0,8.0,64.0,82.0,43.5,0.29,July 2021,44.9772995,-93.2654692,"Minneapolis, Hennepin County, Minnesota, United States"
36,92.0,Le Brewlife,"Taichung, Taiwan",Medium-Light,Le Brewlife Espresso Blend,Not disclosed,8.0,9.0,8.0,,8.0,52.0,70.0,10.5,0.042,July 2021,36.1622767,-86.7742984,"Nashville-Davidson, Davidson County, Middle Tennessee, Tennessee, United States"
37,95.0,Rusty’s Hawaiian,"Pahala, Hawaii",Medium-Light,Kona Maragogype Peaberry Natural,"Kona growing region, Big Island of Hawai’i",9.0,9.0,9.0,9.0,9.0,58.0,80.0,21.25,0.18510452961672474,June 2021,24.177254599999998,120.97919633253537,"博愛國小, 東關路一段, 博愛里, 和平區, 臺中市, 42444, 臺灣"
38,94.0,Peach Coffee Roasters,"Johns Creek, Georgia",Light,Ecuador San José de Minas Double-Anaerobic,"Pichincha Province, Ecuador",9.0,9.0,9.0,9.0,8.0,62.0,80.0,38.25,0.11106271777003485,June 2021,22.6203348,120.3120375,"高雄市, 臺灣"
39,93.0,Peach Coffee Roasters,"Johns Creek, Georgia",Medium-Light,Colombia Bandida Lactic Natural,"Huila Department, Colombia",9.0,8.0,9.0,9.0,8.0,52.0,72.0,24.641499999999997,0.07154907084785134,June 2021,24.177254599999998,120.97919633253537,"博愛國小, 東關路一段, 博愛里, 和平區, 臺中市, 42444, 臺灣"
40,95.0,JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,Nyeri Hill Kenya,"Nyeri growing region, Kenya",9.0,9.0,9.0,9.0,9.0,58.0,80.0,17.425,0.0505952380952381,June 2021,29.7589382,-95.3676974,"Houston, Harris County, Texas, United States"
41,95.0,JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,La Perla Chiquita Ecuador,"Pichincha Province, Ecuador",9.0,9.0,9.0,,9.0,56.0,76.0,17.849999999999998,0.051829268292682924,June 2021,37.7840208,-79.4428157,"Lexington, Virginia, 24450, United States"
42,94.0,JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,Pantan Musara Sumatra,"Aceh Province, Sumatra, Indonesia",9.0,9.0,9.0,,8.0,56.0,74.0,15.214999999999998,0.04417828106852497,June 2021,39.049011,-95.677556,"Topeka, Shawnee County, Kansas, United States"
43,94.0,JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,Las Flores Colombia,"San Isidro, Acevedo, Huila, Colombia",9.0,9.0,9.0,9.0,8.0,58.0,78.0,17.0,0.04936120789779327,June 2021,34.0514898,-84.0712997,"Suwanee, Gwinnett County, Georgia, United States"
45,93.0,RamsHead Coffee Roasters,"Bozeman, Montana",Medium,Pandemic Pacamara Blend,El Salvador; Guatemala,9.0,9.0,9.0,8.0,8.0,52.0,68.0,13.5575,0.03936556329849013,June 2021,47.0451022,-122.8950075,"Olympia, Thurston County, Washington, United States"
46,94.0,Paradise Roasters,"Minneapolis, Minnesota",Light,Nicaragua Yellow Pacamara Natural,"Matagalpa, Nicaragua",9.0,9.0,9.0,9.0,8.0,62.0,80.0,25.4575,0.22175522648083623,June 2021,36.6782167,139.8096549,"栃木県, 日本"
47,92.0,Raggiana Coffee,"Nashville, Tennessee",Medium-Light,Papua New Guinea Sigri Estate Medium Roast,"Western Highlands, Papua New Guinea",9.0,8.0,9.0,8.0,8.0,52.0,70.0,13.5915,0.039464285714285716,June 2021,23.474323,120.4500678,"台灣中油文化路站, 11, 文化路, 文化里, 西區, 嘉義市, 600, 臺灣"
48,95.0,Pro Aroma Enterprise Coffee,"Taichung City, Taiwan",Medium-Light,Ethiopia West Arsi Nensebo Natural G1,"Guji Zone, southern Ethiopia",9.0,9.0,9.0,9.0,9.0,52.0,70.0,20.4,0.059233449477351915,June 2021,42.8417577,-70.8606083,"Salisbury, Essex County, Massachusetts, 01952, United States"
49,91.0,Pamma Coffee,"Kaohsiung, Taiwan",Medium,Pamma Classic Blend Espresso,Ethiopia; Colombia; Brazil; Tanzania; Indonesia,8.0,8.0,8.0,,8.0,50.0,66.0,10.5,0.022865853658536585,June 2021,44.9772995,-93.2654692,"Minneapolis, Hennepin County, Minnesota, United States"
50,94.0,Pro Aroma Enterprise Coffee,"Taichung City, Taiwan",Light,Ethiopia Sidama Bona Sweet Natural,"Sidamo Zone, Oromia Region, Ethiopia",9.0,9.0,9.0,9.0,8.0,62.0,80.0,17.0,0.04936120789779327,June 2021,23.474323,120.4500678,"台灣中油文化路站, 11, 文化路, 文化里, 西區, 嘉義市, 600, 臺灣"
51,94.0,Three Keys Coffee,"Houston, Texas",Medium-Light,Congo Square,"South Kivu growing region, Democratic Republic of the Congo",9.0,9.0,9.0,9.0,8.0,56.0,74.0,17.0,0.04936120789779327,June 2021,36.9157056,-80.3876889,"Floyd County, Virginia, United States"
53,94.0,Lexington Coffee Roasters,"Lexington, Virginia",Medium-Light,Tanzania Sambewe,"Songwe Region, Mbozi District, Tanzania",9.0,9.0,9.0,9.0,8.0,58.0,78.0,14.407499999999999,0.04183362369337979,June 2021,23.474323,120.4500678,"台灣中油文化路站, 11, 文化路, 文化里, 西區, 嘉義市, 600, 臺灣"
54,94.0,PT's Coffee Roasting Co.,"Topeka, Kansas",Medium-Light,Rwanda Kinini Village Natural,"Northern Province, Rwanda",9.0,9.0,9.0,9.0,8.0,58.0,78.0,18.275,0.05306329849012776,June 2021,23.474323,120.4500678,"台灣中油文化路站, 11, 文化路, 文化里, 西區, 嘉義市, 600, 臺灣"
55,94.0,Volcanica Coffee,"Suwanee, Georgia",Medium-Light,Tanzania Peaberry,"Ngorongoro Crater region, northern Tanzania",9.0,9.0,9.0,9.0,8.0,53.0,71.0,15.291499999999997,0.033300304878048775,June 2021,23.474323,120.4500678,"台灣中油文化路站, 11, 文化路, 文化里, 西區, 嘉義市, 600, 臺灣"
56,93.0,Black Oak Coffee Roasters,"Ukiah, California",Medium-Light,Rwanda Dukunde Kawa,"Gakenke growing region, Rwanda",9.0,9.0,9.0,8.0,8.0,54.0,74.0,14.875,0.04319105691056911,June 2021,24.7519538,121.7533344,"宜蘭市, 宜蘭縣, 臺灣"
57,93.0,Olympia Coffee,"Olympia, Washington",Light,Burundi Mikuba Honey Microlot 1,"Kayanza State, Burundi",9.0,9.0,9.0,8.0,8.0,62.0,80.0,19.125,0.05553135888501742,June 2021,24.7519538,121.7533344,"宜蘭市, 宜蘭縣, 臺灣"
58,93.0,Mamechamame Coffee,"Tochigi, Japan",Light,Rwanda Simbi,"Huye District, Rwanda",9.0,9.0,9.0,8.0,8.0,74.0,94.0,0.0077,7.7e-05,June 2021,24.7519538,121.7533344,"宜蘭市, 宜蘭縣, 臺灣"
59,93.0,Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,Rwanda Akagera CWS Fully Washed Lot 9,"Nyaruguru District, Rwanda",9.0,9.0,9.0,8.0,8.0,58.0,78.0,6.6,0.028745644599303136,June 2021,40.5863563,-122.391675,"Redding, Shasta County, California, United States"
60,92.0,Valverde Coffee Roasters,"Salisbury, Massachusetts",Medium,Burundi Kinyovu,"Kayanza State, Burundi",9.0,8.0,9.0,8.0,8.0,46.0,64.0,13.5915,0.047357142857142855,June 2021,45.6794293,-111.044047,"Bozeman, Gallatin County, Montana, United States"
61,95.0,Paradise Roasters,"Minneapolis, Minnesota",Light,Tanzania Ngila Estate SL28,"Ngorogoro, Tanzania",9.0,9.0,9.0,9.0,9.0,60.0,84.0,21.2075,0.0615781068524971,June 2021,43.646067,-108.212043,"Thermopolis, Hot Springs County, Wyoming, 82443, United States"
62,96.0,Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,Ethiopia Washed Sidama Nafasha 74158 21/01,"Sidama Zone, Oromia Region, Ethiopia",9.0,9.0,10.0,9.0,9.0,60.0,78.0,8.7,0.03789198606271777,June 2021,45.6794293,-111.044047,"Bozeman, Gallatin County, Montana, United States"
63,95.0,Red Rooster Coffee Roaster,"Floyd, Virginia",Medium-Light,Ethiopia Tibe Haro Uraga,"Uraga District, Guji Zone, Ethiopia",9.0,9.0,9.0,9.0,9.0,58.0,78.0,17.4165,0.0505705574912892,June 2021,43.646067,-108.212043,"Thermopolis, Hot Springs County, Wyoming, 82443, United States"
64,95.0,Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,Taiwan Natural Alishan TFU’YA Kakalove Lot,"Alishan, Chia-Yi, Taiwan",9.0,9.0,9.0,9.0,9.0,58.0,78.0,21.0,0.18292682926829268,June 2021,45.6794293,-111.044047,"Bozeman, Gallatin County, Montana, United States"
65,95.0,Kakalove Cafe,"Chia-Yi, Taiwan",Light,Ethiopia Natural Guji Blue Donkey 21/01,"Guji Zone, Oromia Region, Ethiopia",9.0,9.0,9.0,9.0,9.0,60.0,82.0,9.75,0.042465156794425085,June 2021,41.8755616,-87.6244212,"Chicago, Cook County, Illinois, United States"
66,94.0,Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,Kenya Nyeri Gachatha Washed AB,"Nyeri growing region, south-central Kenya",9.0,9.0,9.0,9.0,8.0,58.0,76.0,9.75,0.042465156794425085,June 2021,32.7174202,-117.1627728,"San Diego, San Diego County, California, United States"
67,93.0,Kakalove Cafe,"Chia-Yi, Taiwan",Medium-Light,Rwanda Natural Rutsiro Bugoyi 60-hour Fermentation,"Rutsiro, Western Province, Rwanda",9.0,9.0,9.0,8.0,8.0,59.0,79.0,9.0,0.03919860627177701,June 2021,41.8755616,-87.6244212,"Chicago, Cook County, Illinois, United States"
68,95.0,GK Coffee,"Yilan, Taiwan",Medium-Light,Ethiopia Yirgacheffe G1 Mulugeta Tsige,"Yirgacheffe growing region, south-central Ethiopia",9.0,9.0,9.0,9.0,9.0,60.0,78.0,15.0,0.075,June 2021,4.6529539,-74.0835643,"Bogotá, Bogotá Distrito Capital - Municipio, RAP (Especial) Central, Colombia"
69,94.0,GK Coffee,"Yilan, Taiwan",Medium-Light,Kenya AA Top Gathambi Station,"Kirinyaga, Kenya",9.0,9.0,9.0,9.0,8.0,58.0,76.0,16.5,0.0825,June 2021,43.074761,-89.3837613,"Madison, Dane County, Wisconsin, United States"
70,94.0,GK Coffee,"Yilan, Taiwan",Medium-Light,Ethiopia Guji Gerba Station G1 Natural Espresso,"Gerbicho Rogicha, Bule Hora District, Guji Zone, Oromia Region, Ethiopia",9.0,9.0,9.0,,8.0,56.0,76.0,13.5,0.0675,June 2021,4.6529539,-74.0835643,"Bogotá, Bogotá Distrito Capital - Municipio, RAP (Especial) Central, Colombia"
71,94.0,Theory Coffee Roasters,"Redding, California",Medium-Light,Ethiopia Keramo Village,"Sidamo growing region, south-central Ethiopia",9.0,9.0,9.0,9.0,8.0,60.0,77.0,25.5,0.085,June 2021,43.074761,-89.3837613,"Madison, Dane County, Wisconsin, United States"
72,94.0,RamsHead Coffee Roasters,"Bozeman, Montana",Medium-Light,Ethiopia Uraga Washed G1,"Guji Zone, Oromia Region, southern Ethiopia",9.0,9.0,9.0,9.0,8.0,58.0,78.0,15.257499999999999,0.044301684088269455,may-21,45.403271,-71.889038,"Sherbrooke, Estrie, Québec, Canada"
73,92.0,Jackrabbit Java,"Thermopolis, Wyoming",Medium-Light,Rwanda Nyruzisa Station,"Nyamagabe District, Southern Province, Rwanda",9.0,8.0,9.0,8.0,8.0,60.0,78.0,11.9,0.034552845528455285,may-21,25.072134249999998,121.67991896754117,"保長國小, 553, 大同路三段, 保安里, 汐止區, 新北市, 22173, 臺灣"
74,92.0,RamsHead Coffee Roasters,"Bozeman, Montana",Medium-Light,Kenya Lenana AA Plus,"Mount Kenya growing region, Kenya",8.0,9.0,9.0,8.0,8.0,56.0,74.0,15.257499999999999,0.044301684088269455,may-21,41.8755616,-87.6244212,"Chicago, Cook County, Illinois, United States"
75,91.0,Jackrabbit Java,"Thermopolis, Wyoming",Medium-Light,Ethiopia Sidamo Natural Water Decaf,"Guji Zone, Oromia Region, southern Ethiopia",8.0,8.0,9.0,8.0,8.0,56.0,74.0,11.9,0.034552845528455285,may-21,19.4326296,-99.1331785,"Ciudad de México, México"
76,92.0,RamsHead Coffee Roasters,"Bozeman, Montana",Medium-Light,Grizzly Peak Blend,El Salvador; Colombia; Ethiopia,9.0,8.0,9.0,8.0,8.0,60.0,78.0,13.5575,0.03936556329849013,may-21,23.90235,120.6909167,"南投縣, 臺灣"
77,95.0,Big Shoulders Coffee,"Chicago, Illinois",Medium-Light,Kenya Karindudu AA,"Nyeri growing region, south-central Kenya",9.0,9.0,9.0,9.0,9.0,56.0,76.0,18.7,0.054297328687572595,may-21,25.0375198,121.5636796,"臺北市, 臺灣"
78,94.0,Nostalgia Coffee Roasters,"San Diego, California",Light,Colombia Cardona Natural,"Santa Barbara, Antioquia Department, Colombia",9.0,9.0,9.0,9.0,8.0,62.0,80.0,21.25,0.061701509872241586,may-21,23.90235,120.6909167,"南投縣, 臺灣"
79,94.0,Big Shoulders Coffee,"Chicago, Illinois",Medium-Light,Ethiopia Guji Anaerobic,"Guji Zone, Oromia Region, southern Ethiopia",9.0,9.0,9.0,9.0,8.0,57.0,73.0,21.25,0.061701509872241586,may-21,24.7519538,121.7533344,"宜蘭市, 宜蘭縣, 臺灣"
80,94.0,Lina Premium Coffee,"Bogota, Colombia",Medium-Light,Maypop,"Risaralda, Colombia",9.0,9.0,9.0,9.0,8.0,56.0,72.0,21.2415,0.06167682926829268,may-21,39.7392364,-104.984862,"Denver, Colorado, United States"
81,93.0,JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,Norte Peru,"Jaén Province, Cajamarca Region, Peru",9.0,9.0,9.0,8.0,8.0,56.0,74.0,13.43,0.03899535423925668,may-21,25.0375198,121.5636796,"臺北市, 臺灣"
82,90.0,Lina Premium Coffee,"Bogota, Colombia",Medium-Light,Trivarietal,"Risaralda, Colombia",8.0,8.0,9.0,8.0,7.0,56.0,74.0,21.037499999999998,0.06108449477351916,may-21,44.9772995,-93.2654692,"Minneapolis, Hennepin County, Minnesota, United States"
83,94.0,JBC Coffee Roasters,"Madison, Wisconsin",Medium-Light,La Soledad Colombia,"Urrao, Antioquia Department, Colombia",9.0,9.0,9.0,9.0,8.0,58.0,80.0,15.299999999999999,0.0666376306620209,may-21,32.7174202,-117.1627728,"San Diego, San Diego County, California, United States"
84,92.0,Café Hubert Saint-Jean,"Sherbrooke, Quebec, Canada",Medium,Fjord Espresso Blend,Peru; Ethiopia,8.0,9.0,8.0,,8.0,46.0,60.0,16.575,0.04812717770034843,may-21,41.2746962,-72.8173481,"Branford, Maple Street, Branford Center, Branford, South Central Connecticut Planning Region, 06405, United States"
85,93.0,Ming's Coffee Playroom,"New Taipei City, Taiwan",Light,Natural Mexico Ixhuatlan del Cafe,"Veracruz, Mexico",9.0,9.0,9.0,8.0,8.0,62.0,84.0,13.5,0.06,may-21,25.0375198,121.5636796,"臺北市, 臺灣"
86,94.0,Big Shoulders Coffee,"Chicago, Illinois",Medium-Light,Colombia Huila Acevedo El Paraiso,"Huila Department, Colombia",9.0,9.0,9.0,9.0,8.0,57.0,77.0,21.25,0.061701509872241586,may-21,24.8066333,120.9686833,"新竹市, 臺灣"
87,91.0,Colibrije Specialty Coffee,"Mexico City, Mexico",Medium,100% Organic Specialty Arabica,"Chiapas State, Mexico",8.0,9.0,9.0,8.0,7.0,52.0,68.0,16.575,0.04812717770034843,may-21,28.5421109,-81.3790304,"Orlando, Orange County, Florida, 32801, United States"
88,96.0,Desolate Cafe,"Nantou, Taiwan",Medium-Light,Love of Desolate,"Los Angeles, Sabanilla de Alajuela, Costa Rica",9.0,9.0,10.0,9.0,9.0,58.0,80.0,15.0,0.06607929515418502,may-21,32.5317397,-117.0195295,"Tijuana, Municipio de Tijuana, Baja California, 22320, México"
89,95.0,Quartet Kaffe,"Taipei, Taiwan",Medium-Light,Blend No.7 Berrichee,Ethiopia; Colombia; Panama; Mexico,9.0,9.0,9.0,,9.0,54.0,74.0,12.6,0.063,may-21,25.0375198,121.5636796,"臺北市, 臺灣"
90,94.0,Desolate Cafe,"Nantou, Taiwan",Medium-Light,Ethiopia Niguse Gemeda Mude Natural,"Hayisa Village, Bure Woreda, Sidama Zone, Ethiopia",9.0,9.0,9.0,9.0,8.0,60.0,78.0,27.0,0.11894273127753303,may-21,39.049011,-95.677556,"Topeka, Shawnee County, Kansas, United States"
91,93.0,Small Eyes Cafe,"Yilan, Taiwan",Light,Rwanda Nyamagabe Kigeme Lot #4,"Nyamagabe District, Southern Province, Rwanda",9.0,9.0,9.0,8.0,8.0,62.0,84.0,9.6,0.048,may-21,33.1580933,-117.3505966,"Carlsbad, San Diego County, California, United States"
92,95.0,Corvus Coffee Roasters,"Denver, Colorado",Medium-Light,La Estrella Carbonic Geisha Reserve,"Tolima Department, Colombia",9.0,9.0,9.0,9.0,9.0,59.0,77.0,25.5,0.00068,may-21,22.8348084,120.37010401855441,"高雄市田寮區新興國民小學, 新興路, 新興里, 田寮區, 新興(牛稠埔), 高雄市, 823, 臺灣"
93,95.0,Coffee Please,"Taipei, Taiwan",Medium-Light,Ethiopia Guji Wush Wush Anaerobic Natural,"Guji Zone, Oromia Region, southern Ethiopia",9.0,9.0,9.0,9.0,9.0,57.0,77.0,16.8,0.07400881057268723,may-21,22.8348084,120.37010401855441,"高雄市田寮區新興國民小學, 新興路, 新興里, 田寮區, 新興(牛稠埔), 高雄市, 823, 臺灣"
94,95.0,Paradise Roasters,"Minneapolis, Minnesota",Medium-Light,Ethiopia Guji Wush Wush,"Guji Zone, Oromia Region, southern Ethiopia",9.0,9.0,9.0,9.0,9.0,58.0,77.0,21.2075,0.0615781068524971,may-21,22.8348084,120.37010401855441,"高雄市田寮區新興國民小學, 新興路, 新興里, 田寮區, 新興(牛稠埔), 高雄市, 823, 臺灣"
95,94.0,Bird Rock Coffee Roasters,"San Diego, California",Medium-Light,Tres Dragones Colombia,"Caicedonia, Valle de Cauca Department, Colombia",9.0,9.0,9.0,9.0,8.0,60.0,78.0,21.25,0.061701509872241586,may-21,22.8348084,120.37010401855441,"高雄市田寮區新興國民小學, 新興路, 新興里, 田寮區, 新興(牛稠埔), 高雄市, 823, 臺灣"
96,94.0,Willoughby's Coffee & Tea,"Branford, Connecticut",Medium-Light,Panama Elida Estate Catuaí Natural ASD,"Boquete growing region, western Panama",9.0,9.0,9.0,9.0,8.0,58.0,76.0,28.0415,0.061065984320557494,may-21,40.7215682,-74.047455,"Jersey City, Hudson County, New Jersey, United States"
97,93.0,De Clieu Coffee,"Taipei, Taiwan",Medium-Light,Ethiopia Guji Natural Anaerobic Wush Wush G1,"Sidama growing region, southern Ethiopia",9.0,9.0,9.0,8.0,8.0,56.0,72.0,19.5,0.08493031358885017,may-21,25.0375198,121.5636796,"臺北市, 臺灣"
98,93.0,Fumi Coffee,"Hsinchu, Taiwan",Medium-Light,Peru Yanesha Geisha Double-Anaerobic,"Villa Rica, Oxapampa Province, Peru",9.0,8.0,9.0,9.0,8.0,55.0,74.0,66.0,0.1437282229965157,may-21,25.0375198,121.5636796,"臺北市, 臺灣"
99,93.0,Geisha Coffee Roaster,"Orlando, Florida",Medium-Light,Elida Natural ASD (Panama),"Boquete growing region, western Panama",9.0,9.0,9.0,8.0,8.0,58.0,80.0,12.529,0.027284407665505227,may-21,39.3176491,-123.4126399,"Mendocino County, California, United States"
100,93.0,Ilustre Specialty Coffees,"Tijuana, Mexico",Medium-Light,Pink Bourbon Natural Anaerobic Colombia,"Quindio Department, Colombia",9.0,8.0,9.0,9.0,8.0,62.0,78.0,425.0,2.125,may-21,36.6782167,139.8096549,"栃木県, 日本"
101,93.0,Nine Point Coffee,"Taipei, Taiwan",Medium,Ethiopia Oromia Anaerobic Natural,"Guji Zone, Oromia Region, southern Ethiopia",9.0,8.0,9.0,8.0,9.0,48.0,64.0,15.0,0.06666666666666667,may-21,36.6782167,139.8096549,"栃木県, 日本"
